name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Johnson Charles ,West Indies,Right hand Bat,Wicketkeeper Batter,,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322008.png"
Vinoo Balakrishnan,Botswana,Right hand Bat,,Right arm Offbreak,,
Moazzam Baig(c),Malawi,Right hand Bat,,Right arm Offbreak,,
Boemo Khumalo,Botswana,Right hand Bat,,Right arm Medium fast,,
Chris Jordan,England,Right hand Bat,Bowler,Right arm Fast medium,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316623.png"
Supun Navaratne,Japan,Right hand Bat,Bowler,,,
Shaheen Shah Afridi,Pakistan,Left hand Bat,Bowler,Left arm Fast,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322250.png"
Suryakumar Yadav(c),India,Right hand Bat,Batter,"Right arm Medium, Right arm Offbreak",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331163.png"
Manpreet Singh ,Italy,Right hand Bat,Wicketkeeper Batter,,,
George Dockrell,Ireland,Right hand Bat,Allrounder,Slow Left arm Orthodox,"Left-arm spinner George Dockrell made his international debut for Ireland as a 17-year-old in 2010 though he had been bowling spin for only four years at that point, after coach Brian O'Rourke spotted him having a bowl in a car park during an Ireland age-group tour of Wales. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316659.png"
Dipita Loic,Cameroon,Right hand Bat,,Right arm Medium fast,,
Anilkumar Natubhai Ahir ,Panama,Right hand Bat,,Left arm Medium,,
Nicholas Kirton,Canada,Left hand Bat,Batting Allrounder,,,
Mmoloki Mooketsi,Botswana,Left hand Bat,,Slow Left arm Orthodox,,
Shubman Gill,India,Right hand Bat,Opening Batter,Right arm Offbreak,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322600/322697.png"
