team1,team2,winner,margin,ground,matchDate,match_id
U.A.E.,Afghanistan,U.A.E.,11 runs,Sharjah,"Dec 31, 2023",T20I # 2426
New Zealand,Bangladesh,New Zealand,17 runs,Mount Maunganui,"Dec 31, 2023",T20I # 2425
U.A.E.,Afghanistan,Afghanistan,72 runs,Sharjah,"Dec 29, 2023",T20I # 2424
New Zealand,Bangladesh,Bangladesh,5 wickets,Napier,"Dec 27, 2023",T20I # 2422
Indonesia,Philippines,Philippines,7 wickets,Bali,"Dec 26, 2023",T20I # 2421
Indonesia,Philippines,tied,-,Bali,"Dec 24, 2023",T20I # 2420
Indonesia,Philippines,Philippines,8 wickets,Bali,"Dec 24, 2023",T20I # 2419
Indonesia,Philippines,Indonesia,20 runs,Bali,"Dec 23, 2023",T20I # 2418
Indonesia,Philippines,Indonesia,10 wickets,Bali,"Dec 23, 2023",T20I # 2417
Indonesia,Philippines,Philippines,2 runs,Bali,"Dec 22, 2023",T20I # 2416
West Indies,England,West Indies,4 wickets,Tarouba,"Dec 21, 2023",T20I # 2415
West Indies,England,England,75 runs,Tarouba,"Dec 19, 2023",T20I # 2414
Kenya,Uganda,Uganda,91 runs,Benoni,"Dec 19, 2023",T20I # 2413
Botswana,Malawi,Botswana,3 wickets,Benoni,"Dec 19, 2023",T20I # 2412
Kenya,Malawi,Kenya,4 runs,Benoni,"Dec 18, 2023",T20I # 2411
Botswana,Uganda,Uganda,10 wickets,Benoni,"Dec 18, 2023",T20I # 2410
Ghana,Sierra Leone,Ghana,2 wickets,Benoni,"Dec 17, 2023",T20I # 2409
Mozambique,Rwanda,Mozambique,5 wickets,Benoni,"Dec 17, 2023",T20I # 2408
West Indies,England,England,7 wickets,St George's,"Dec 16, 2023",T20I # 2407
Botswana,Kenya,Kenya,40 runs,Benoni,"Dec 16, 2023",T20I # 2406
Malawi,Rwanda,Malawi,46 runs,Benoni,"Dec 16, 2023",T20I # 2405
Mozambique,Uganda,Uganda,51 runs,Benoni,"Dec 15, 2023",T20I # 2404
Botswana,Sierra Leone,Sierra Leone,2 wickets,Benoni,"Dec 15, 2023",T20I # 2403
West Indies,England,West Indies,10 runs,St George's,"Dec 14, 2023",T20I # 2402
South Africa,India,India,106 runs,Johannesburg,"Dec 14, 2023",T20I # 2401
Malawi,Mozambique,Malawi,6 wickets,Benoni,"Dec 14, 2023",T20I # 2400
Ghana,Kenya,Kenya,8 wickets,Benoni,"Dec 13, 2023",T20I # 2399
Malawi,Uganda,Uganda,7 wickets,Benoni,"Dec 13, 2023",T20I # 2398
West Indies,England,West Indies,4 wickets,Bridgetown,"Dec 12, 2023",T20I # 2397
South Africa,India,South Africa,5 wickets,Gqeberha,"Dec 12, 2023",T20I # 2396
Kenya,Sierra Leone,Kenya,8 wickets,Benoni,"Dec 12, 2023",T20I # 2395
Botswana,Ghana,Botswana,38 runs,Benoni,"Dec 11, 2023",T20I # 2394
Rwanda,Uganda,Rwanda,2 runs,Benoni,"Dec 11, 2023",T20I # 2393
Cameroon,Sierra Leone,Sierra Leone,9 wickets,Benoni,"Dec 10, 2023",T20I # 2392
Zimbabwe,Ireland,Ireland,6 wickets,Harare,"Dec 10, 2023",T20I # 2391
Gambia,Ghana,Ghana,98 runs,Benoni,"Dec 10, 2023",T20I # 2390
Mali,Sierra Leone,Sierra Leone,8 wickets,Benoni,"Dec 9, 2023",T20I # 2389
Zimbabwe,Ireland,Ireland,4 wickets,Harare,"Dec 9, 2023",T20I # 2388
Ghana,Rwanda,Rwanda,3 wickets,Benoni,"Dec 9, 2023",T20I # 2387
Kenya,Mali,Kenya,10 wickets,Benoni,"Dec 8, 2023",T20I # 2386
Gambia,Rwanda,Rwanda,4 wickets,Benoni,"Dec 8, 2023",T20I # 2385
Zimbabwe,Ireland,Zimbabwe,1 wicket,Harare,"Dec 7, 2023",T20I # 2384
Kenya,Sierra Leone,Kenya,8 wickets,Benoni,"Dec 7, 2023",T20I # 2383
